explanation,image_name,deteriation_i,original_predicted_class_current_prob
LIME,00724_congested.jpg,1,0.625468373299
LIME,00724_congested.jpg,2,0.617475926876
LIME,00724_congested.jpg,3,0.607086539268
LIME,00724_congested.jpg,4,0.603953957558
LIME,00724_congested.jpg,5,0.593188405037
LIME,00724_congested.jpg,6,0.559036612511
LIME,00724_congested.jpg,7,0.531983733177
LIME,00724_congested.jpg,8,0.537821352482
LIME,00724_congested.jpg,9,0.533476948738
LIME,00724_congested.jpg,10,0.506220519543
LIME,00724_congested.jpg,11,0.503790974617
LIME,00724_congested.jpg,12,0.488688290119
LIME,00724_congested.jpg,13,0.494375944138
LIME,00724_congested.jpg,14,0.507863223553
LIME,00724_congested.jpg,15,0.480257004499
LIME,00724_congested.jpg,16,0.478203684092
LIME,00724_congested.jpg,17,0.480466097593
LIME,00724_congested.jpg,18,0.474319696426
LIME,00724_congested.jpg,19,0.470961481333
LIME,00724_congested.jpg,20,0.476916342974
LIME,00724_congested.jpg,21,0.491074025631
LIME,00724_congested.jpg,22,0.492819964886
LIME,00724_congested.jpg,23,0.480470478535
LIME,00724_congested.jpg,24,0.472515881062
LIME,00724_congested.jpg,25,0.474700629711
LIME,00724_congested.jpg,26,0.478737443686
LIME,00724_congested.jpg,27,0.462969511747
LIME,00724_congested.jpg,28,0.459358364344
LIME,00724_congested.jpg,29,0.457348197699
LIME,00724_congested.jpg,30,0.449088186026
LIME,00724_congested.jpg,31,0.453642427921
LIME,00724_congested.jpg,32,0.456319838762
LIME,00724_congested.jpg,33,0.453800559044
LIME,00724_congested.jpg,34,0.448722600937
LIME,00724_congested.jpg,35,0.482944726944
LIME,00724_congested.jpg,36,0.484161168337
LIME,00724_congested.jpg,37,0.50901722908
LIME,00724_congested.jpg,38,0.505173265934
LIME,00724_congested.jpg,39,0.52691257
LIME,00724_congested.jpg,40,0.537136971951
LIME,00724_congested.jpg,41,0.530790627003
LIME,00724_congested.jpg,42,0.502548158169
LIME,00724_congested.jpg,43,0.489034116268
LIME,00724_congested.jpg,44,0.48542830348
LIME,00724_congested.jpg,45,0.471013903618
LIME,00724_congested.jpg,46,0.464841753244
LIME,00724_congested.jpg,47,0.475063413382
LIME,00724_congested.jpg,48,0.513246774673
LIME,00724_congested.jpg,49,0.546850025654
LIME,00724_congested.jpg,50,0.557693243027
LIME,01762_non-congested.jpg,1,0.593859016895
LIME,01762_non-congested.jpg,2,0.597749590874
LIME,01762_non-congested.jpg,3,0.604287266731
LIME,01762_non-congested.jpg,4,0.607050776482
LIME,01762_non-congested.jpg,5,0.598159432411
LIME,01762_non-congested.jpg,6,0.602887094021
LIME,01762_non-congested.jpg,7,0.60103905201
LIME,01762_non-congested.jpg,8,0.603796422482
LIME,01762_non-congested.jpg,9,0.603697657585
LIME,01762_non-congested.jpg,10,0.612926602364
LIME,01762_non-congested.jpg,11,0.609920084476
LIME,01762_non-congested.jpg,12,0.612724781036
LIME,01762_non-congested.jpg,13,0.612296938896
LIME,01762_non-congested.jpg,14,0.620771944523
LIME,01762_non-congested.jpg,15,0.626972913742
LIME,01762_non-congested.jpg,16,0.628520131111
LIME,01762_non-congested.jpg,17,0.645779848099
LIME,01762_non-congested.jpg,18,0.626286685467
LIME,01762_non-congested.jpg,19,0.635366201401
LIME,01762_non-congested.jpg,20,0.634805560112
LIME,01762_non-congested.jpg,21,0.635011911392
LIME,01762_non-congested.jpg,22,0.649324536324
LIME,01762_non-congested.jpg,23,0.628832757473
LIME,01762_non-congested.jpg,24,0.624396920204
LIME,01762_non-congested.jpg,25,0.583187580109
LIME,01762_non-congested.jpg,26,0.564306259155
LIME,01762_non-congested.jpg,27,0.495600432158
LIME,01762_non-congested.jpg,28,0.493485242128
