explanation,image_name,deteriation_i,original_predicted_class_current_prob
LIME,00724_congested.jpg,1,0.643522560596
LIME,00724_congested.jpg,2,0.612918317318
LIME,00724_congested.jpg,3,0.58507502079
LIME,00724_congested.jpg,4,0.572500944138
LIME,00724_congested.jpg,5,0.598171114922
LIME,00724_congested.jpg,6,0.561979949474
LIME,00724_congested.jpg,7,0.561064839363
LIME,00724_congested.jpg,8,0.561609089375
LIME,00724_congested.jpg,9,0.546468853951
LIME,00724_congested.jpg,10,0.543796479702
LIME,00724_congested.jpg,11,0.521711409092
LIME,00724_congested.jpg,12,0.509843230247
LIME,00724_congested.jpg,13,0.481254309416
LIME,00724_congested.jpg,14,0.486649304628
LIME,00724_congested.jpg,15,0.482046931982
LIME,00724_congested.jpg,16,0.475891381502
LIME,00724_congested.jpg,17,0.480785667896
LIME,00724_congested.jpg,18,0.480782598257
LIME,00724_congested.jpg,19,0.486512720585
LIME,00724_congested.jpg,20,0.476439148188
LIME,00724_congested.jpg,21,0.444267213345
LIME,00724_congested.jpg,22,0.441927522421
LIME,00724_congested.jpg,23,0.435566455126
LIME,00724_congested.jpg,24,0.428207546473
LIME,00724_congested.jpg,25,0.444391399622
LIME,00724_congested.jpg,26,0.441067755222
LIME,00724_congested.jpg,27,0.46970719099
LIME,00724_congested.jpg,28,0.47290995717
LIME,00724_congested.jpg,29,0.470430374146
LIME,00724_congested.jpg,30,0.49165558815
LIME,00724_congested.jpg,31,0.485902577639
LIME,00724_congested.jpg,32,0.484206557274
LIME,00724_congested.jpg,33,0.498898953199
LIME,00724_congested.jpg,34,0.48502856493
LIME,00724_congested.jpg,35,0.476631551981
LIME,00724_congested.jpg,36,0.465072005987
LIME,00724_congested.jpg,37,0.486530870199
LIME,00724_congested.jpg,38,0.491493970156
LIME,00724_congested.jpg,39,0.510332882404
LIME,00724_congested.jpg,40,0.472462534904
LIME,00724_congested.jpg,41,0.465268522501
LIME,00724_congested.jpg,42,0.448787719011
LIME,00724_congested.jpg,43,0.479161649942
LIME,00724_congested.jpg,44,0.513886749744
LIME,00724_congested.jpg,45,0.524748921394
LIME,00724_congested.jpg,46,0.535039663315
LIME,00724_congested.jpg,47,0.540295898914
LIME,00724_congested.jpg,48,0.54167842865
LIME,00724_congested.jpg,49,0.544693768024
LIME,00724_congested.jpg,50,0.549921810627
LIME,01762_non-congested.jpg,1,0.593859016895
LIME,01762_non-congested.jpg,2,0.597749590874
LIME,01762_non-congested.jpg,3,0.604287266731
LIME,01762_non-congested.jpg,4,0.607050776482
LIME,01762_non-congested.jpg,5,0.598159432411
LIME,01762_non-congested.jpg,6,0.602887094021
LIME,01762_non-congested.jpg,7,0.60103905201
LIME,01762_non-congested.jpg,8,0.603796422482
LIME,01762_non-congested.jpg,9,0.62062048912
LIME,01762_non-congested.jpg,10,0.616624653339
LIME,01762_non-congested.jpg,11,0.618714511395
LIME,01762_non-congested.jpg,12,0.636169552803
LIME,01762_non-congested.jpg,13,0.629118382931
LIME,01762_non-congested.jpg,14,0.646662175655
LIME,01762_non-congested.jpg,15,0.630850672722
LIME,01762_non-congested.jpg,16,0.627932190895
LIME,01762_non-congested.jpg,17,0.619174540043
LIME,01762_non-congested.jpg,18,0.618876814842
LIME,01762_non-congested.jpg,19,0.591809868813
LIME,01762_non-congested.jpg,20,0.572282612324
LIME,01762_non-congested.jpg,21,0.591693580151
LIME,01762_non-congested.jpg,22,0.572146117687
LIME,01762_non-congested.jpg,23,0.549453854561
LIME,01762_non-congested.jpg,24,0.527805387974
LIME,01762_non-congested.jpg,25,0.520492494106
LIME,01762_non-congested.jpg,26,0.506237506866
LIME,01762_non-congested.jpg,27,0.510100662708
LIME,01762_non-congested.jpg,28,0.495041072369
LIME,01762_non-congested.jpg,29,0.480598270893
LIME,01762_non-congested.jpg,30,0.473294854164
LIME,01762_non-congested.jpg,31,0.450607538223
LIME,01762_non-congested.jpg,32,0.471119016409
LIME,01762_non-congested.jpg,33,0.464657604694
LIME,01762_non-congested.jpg,34,0.493131518364
LIME,01762_non-congested.jpg,35,0.478467732668
LIME,01762_non-congested.jpg,36,0.461867570877
LIME,01762_non-congested.jpg,37,0.446996629238
LIME,01762_non-congested.jpg,38,0.458493351936
LIME,01762_non-congested.jpg,39,0.48011380434
LIME,01762_non-congested.jpg,40,0.494661271572
LIME,01762_non-congested.jpg,41,0.459503799677
LIME,01762_non-congested.jpg,42,0.46627163887
LIME,01762_non-congested.jpg,43,0.491027206182
LIME,01762_non-congested.jpg,44,0.500957787037
LIME,01762_non-congested.jpg,45,0.504661142826
LIME,01762_non-congested.jpg,46,0.510257065296
LIME,01762_non-congested.jpg,47,0.482813596725
LIME,01762_non-congested.jpg,48,0.459029555321
LIME,01762_non-congested.jpg,49,0.468702286482
LIME,01762_non-congested.jpg,50,0.452717065811
LIME,00435_congested.jpg,1,0.492418467999
LIME,00435_congested.jpg,2,0.492998123169
LIME,00435_congested.jpg,3,0.466478437185
LIME,00435_congested.jpg,4,0.473859548569
LIME,00435_congested.jpg,5,0.458821862936
LIME,00435_congested.jpg,6,0.465340107679
LIME,00435_congested.jpg,7,0.462475150824
LIME,00435_congested.jpg,8,0.473846197128
LIME,00435_congested.jpg,9,0.478572130203
LIME,00435_congested.jpg,10,0.454715847969
LIME,00435_congested.jpg,11,0.46174043417
LIME,00435_congested.jpg,12,0.442509710789
LIME,00435_congested.jpg,13,0.429459273815
LIME,00435_congested.jpg,14,0.433311641216
LIME,00435_congested.jpg,15,0.447547972202
LIME,00435_congested.jpg,16,0.448221981525
LIME,00435_congested.jpg,17,0.441683530807
LIME,00435_congested.jpg,18,0.445685625076
LIME,00435_congested.jpg,19,0.46237796545
LIME,00435_congested.jpg,20,0.455657213926
LIME,00435_congested.jpg,21,0.437733650208
LIME,00435_congested.jpg,22,0.426974982023
LIME,00435_congested.jpg,23,0.428317248821
LIME,00435_congested.jpg,24,0.434606105089
LIME,00435_congested.jpg,25,0.435932904482
LIME,00435_congested.jpg,26,0.439831972122
LIME,00435_congested.jpg,27,0.435215085745
LIME,00435_congested.jpg,28,0.466647773981
LIME,00435_congested.jpg,29,0.464065402746
LIME,00435_congested.jpg,30,0.479644954205
LIME,00435_congested.jpg,31,0.493095129728
LIME,00435_congested.jpg,32,0.486241310835
LIME,00435_congested.jpg,33,0.473624557257
LIME,00435_congested.jpg,34,0.467745512724
LIME,00435_congested.jpg,35,0.47215244174
LIME,00435_congested.jpg,36,0.478810250759
LIME,00435_congested.jpg,37,0.466174006462
LIME,00435_congested.jpg,38,0.461831450462
LIME,00435_congested.jpg,39,0.463508337736
LIME,00435_congested.jpg,40,0.459502607584
LIME,00435_congested.jpg,41,0.456091493368
LIME,00435_congested.jpg,42,0.508628070354
LIME,00435_congested.jpg,43,0.518349230289
LIME,00435_congested.jpg,44,0.516175746918
LIME,00435_congested.jpg,45,0.50962883234
LIME,00435_congested.jpg,46,0.523622334003
LIME,00435_congested.jpg,47,0.531760811806
LIME,00435_congested.jpg,48,0.544838607311
LIME,00435_congested.jpg,49,0.546633720398
LIME,00435_congested.jpg,50,0.560643851757
LIME,00960_non-congested.jpg,1,0.504576325417
LIME,00960_non-congested.jpg,2,0.524859726429
LIME,00960_non-congested.jpg,3,0.510554492474
LIME,00960_non-congested.jpg,4,0.532511711121
LIME,00960_non-congested.jpg,5,0.528391838074
LIME,00960_non-congested.jpg,6,0.488066464663
LIME,00960_non-congested.jpg,7,0.503246843815
LIME,00960_non-congested.jpg,8,0.512999296188
LIME,00960_non-congested.jpg,9,0.467839866877
LIME,00960_non-congested.jpg,10,0.457336932421
LIME,00960_non-congested.jpg,11,0.440549314022
LIME,00960_non-congested.jpg,12,0.460165321827
LIME,00960_non-congested.jpg,13,0.472269147635
LIME,00960_non-congested.jpg,14,0.469837188721
LIME,00960_non-congested.jpg,15,0.465812563896
LIME,00960_non-congested.jpg,16,0.462797403336
LIME,00960_non-congested.jpg,17,0.458801478148
LIME,00960_non-congested.jpg,18,0.440663665533
LIME,00960_non-congested.jpg,19,0.456792801619
LIME,00960_non-congested.jpg,20,0.459163457155
LIME,00960_non-congested.jpg,21,0.462726324797
LIME,00960_non-congested.jpg,22,0.477982789278
LIME,00960_non-congested.jpg,23,0.467969119549
LIME,00960_non-congested.jpg,24,0.459932327271
LIME,00960_non-congested.jpg,25,0.475520342588
LIME,00960_non-congested.jpg,26,0.46032500267
LIME,00960_non-congested.jpg,27,0.429954439402
LIME,00960_non-congested.jpg,28,0.417379826307
LIME,00960_non-congested.jpg,29,0.435876727104
LIME,00960_non-congested.jpg,30,0.410301148891
LIME,00960_non-congested.jpg,31,0.421864897013
LIME,00960_non-congested.jpg,32,0.442206501961
LIME,00960_non-congested.jpg,33,0.481224864721
LIME,00960_non-congested.jpg,34,0.477836728096
LIME,00960_non-congested.jpg,35,0.482927590609
LIME,00960_non-congested.jpg,36,0.478181421757
LIME,00960_non-congested.jpg,37,0.492214500904
LIME,00960_non-congested.jpg,38,0.469317406416
LIME,00960_non-congested.jpg,39,0.465534418821
LIME,00960_non-congested.jpg,40,0.472785592079
LIME,00960_non-congested.jpg,41,0.474801391363
LIME,00960_non-congested.jpg,42,0.442860096693
LIME,00960_non-congested.jpg,43,0.449739098549
LIME,00960_non-congested.jpg,44,0.48849400878
LIME,00960_non-congested.jpg,45,0.486573070288
LIME,00960_non-congested.jpg,46,0.465682387352
LIME,00960_non-congested.jpg,47,0.494241625071
LIME,00960_non-congested.jpg,48,0.481335788965
LIME,00960_non-congested.jpg,49,0.474727869034
LIME,00960_non-congested.jpg,50,0.458896160126
LIME,01977_non-congested.jpg,1,0.58417648077
LIME,01977_non-congested.jpg,2,0.567046284676
LIME,01977_non-congested.jpg,3,0.566505491734
