explanation,image_name,deteriation_i,original_predicted_class_current_prob
LIME,00724_congested.jpg,1,0.625468373299
LIME,00724_congested.jpg,2,0.617475926876
LIME,00724_congested.jpg,3,0.607627093792
LIME,00724_congested.jpg,4,0.584767043591
LIME,00724_congested.jpg,5,0.573052227497
LIME,00724_congested.jpg,6,0.542485594749
LIME,00724_congested.jpg,7,0.531969547272
LIME,00724_congested.jpg,8,0.520857691765
LIME,00724_congested.jpg,9,0.499266773462
LIME,00724_congested.jpg,10,0.502875804901
LIME,00724_congested.jpg,11,0.494630426168
LIME,00724_congested.jpg,12,0.480314165354
LIME,00724_congested.jpg,13,0.463499367237
LIME,00724_congested.jpg,14,0.465873271227
LIME,00724_congested.jpg,15,0.470605969429
LIME,00724_congested.jpg,16,0.449731945992
LIME,00724_congested.jpg,17,0.436014086008
LIME,00724_congested.jpg,18,0.459666669369
LIME,00724_congested.jpg,19,0.464292824268
LIME,00724_congested.jpg,20,0.476713895798
LIME,00724_congested.jpg,21,0.478483229876
LIME,00724_congested.jpg,22,0.488575428724
LIME,00724_congested.jpg,23,0.464818269014
LIME,00724_congested.jpg,24,0.46750164032
LIME,00724_congested.jpg,25,0.464885264635
LIME,00724_congested.jpg,26,0.468491643667
LIME,00724_congested.jpg,27,0.462572336197
LIME,00724_congested.jpg,28,0.4480727911
LIME,00724_congested.jpg,29,0.450299263
LIME,00724_congested.jpg,30,0.444181501865
LIME,00724_congested.jpg,31,0.436860561371
LIME,00724_congested.jpg,32,0.448012918234
LIME,00724_congested.jpg,33,0.454428881407
LIME,00724_congested.jpg,34,0.454523831606
LIME,00724_congested.jpg,35,0.437444478273
LIME,00724_congested.jpg,36,0.441783279181
LIME,00724_congested.jpg,37,0.426136314869
LIME,00724_congested.jpg,38,0.449240028858
LIME,00724_congested.jpg,39,0.481203854084
LIME,00724_congested.jpg,40,0.484440147877
LIME,00724_congested.jpg,41,0.49878436327
LIME,00724_congested.jpg,42,0.50483506918
LIME,00724_congested.jpg,43,0.501830160618
LIME,00724_congested.jpg,44,0.504949510098
LIME,00724_congested.jpg,45,0.506213605404
LIME,00724_congested.jpg,46,0.555792629719
LIME,00724_congested.jpg,47,0.554848909378
LIME,00724_congested.jpg,48,0.512301385403
LIME,00724_congested.jpg,49,0.524497568607
LIME,00724_congested.jpg,50,0.52104473114
LIME,01762_non-congested.jpg,1,0.590386033058
LIME,01762_non-congested.jpg,2,0.58263027668
LIME,01762_non-congested.jpg,3,0.591087639332
LIME,01762_non-congested.jpg,4,0.594497025013
LIME,01762_non-congested.jpg,5,0.60556769371
LIME,01762_non-congested.jpg,6,0.603985667229
LIME,01762_non-congested.jpg,7,0.610240340233
LIME,01762_non-congested.jpg,8,0.614370286465
LIME,01762_non-congested.jpg,9,0.617750108242
LIME,01762_non-congested.jpg,10,0.616846501827
LIME,01762_non-congested.jpg,11,0.622411310673
LIME,01762_non-congested.jpg,12,0.611568331718
LIME,01762_non-congested.jpg,13,0.606331467628
LIME,01762_non-congested.jpg,14,0.612691164017
LIME,01762_non-congested.jpg,15,0.615626037121
LIME,01762_non-congested.jpg,16,0.621231019497
LIME,01762_non-congested.jpg,17,0.645779848099
LIME,01762_non-congested.jpg,18,0.626286685467
LIME,01762_non-congested.jpg,19,0.635366201401
LIME,01762_non-congested.jpg,20,0.634805560112
LIME,01762_non-congested.jpg,21,0.635011911392
LIME,01762_non-congested.jpg,22,0.649324536324
LIME,01762_non-congested.jpg,23,0.628832757473
LIME,01762_non-congested.jpg,24,0.624396920204
LIME,01762_non-congested.jpg,25,0.583187580109
LIME,01762_non-congested.jpg,26,0.564306259155
LIME,01762_non-congested.jpg,27,0.495600432158
LIME,01762_non-congested.jpg,28,0.493485242128
